seed,after_task,host_id,task_id,host_probe_acc,n_items,audit_only,specialization_audit_target_variant,specialization_audit_target_method,specialization_audit_target_policy_family,specialization_audit_model_source,specialization_audit_aligned_to_selected_candidate,specialization_audit_diagnostic_only
4,4,1,3,0.083984375,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,1,4,0.533203125,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,2,0,0.41796875,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,2,1,0.123046875,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,2,2,0.58984375,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,2,3,0.763671875,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,2,4,0.681640625,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,3,0,0.646484375,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,3,1,0.689453125,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,3,2,0.44921875,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,3,3,0.4609375,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,3,4,0.72265625,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,4,0,0.5625,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,4,1,0.171875,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,4,2,0.525390625,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,4,3,0.755859375,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,4,4,0.79296875,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
