seed,task_id,host,n_batches,mean_route_weight,mean_mutualistic_gain,mean_memory_risk,mean_expected_update_importance,mean_observed_update_allocation,mean_lsa_pearson,mean_lsa_cosine,suspicious_rate
2,1,H5,152,0.0007249076863301621,0.0002414260875462691,0.0007249076862671847,0.0006063994254675342,0.009469881510801179,0.9361332472897634,0.9461515562066471,0.0
2,2,H2,152,0.6104940854405102,0.36902370832436143,0.6104940855143509,0.578980269495336,0.6178813846615556,0.7356298651446331,0.8464861237751031,1.0
2,2,H5,152,0.32516087946102123,0.269183529722638,0.32516088061391235,0.36897097244455584,0.16203253107967183,0.7356298651446331,0.8464861237751031,0.40131578947368424
2,2,H3,152,0.04825355785463838,-0.0008385732942274643,0.04825355792449894,0.03698746473845894,0.19172175651808876,0.7356298651446331,0.8464861237751031,0.3157894736842105
2,2,H1,152,0.007891164386484505,0.004245944401255831,0.007891164418712937,0.007933794792644744,0.01701989592643323,0.7356298651446331,0.8464861237751031,0.013157894736842105
2,2,H4,152,0.008200311497746856,0.0021334665887901318,0.008200311528524904,0.007127498529004538,0.011344431814250492,0.7356298651446331,0.8464861237751031,0.013157894736842105
2,3,H2,152,0.31384152575935187,0.038898719092486794,0.3138415247641176,0.2631959286266773,0.3552974432856355,0.5167918997050638,0.7767163444899966,0.9144736842105263
2,3,H5,152,0.2636305272187057,0.05687651309996772,0.2636305264228627,0.24497131646467457,0.28966363993159305,0.5167918997050638,0.7767163444899966,0.506578947368421
2,3,H4,152,0.37340563846948116,0.315961320890914,0.3734056369056411,0.44929047352543305,0.17837997201596847,0.5167918997050638,0.7767163444899966,0.4407894736842105
2,3,H3,152,0.028025993403341425,-0.0010411608444346697,0.028025993281908534,0.02125815957534884,0.14577759981512844,0.5167918997050638,0.7767163444899966,0.19736842105263158
2,3,H1,152,0.02109631870897781,0.008977566224751597,0.021096318625470064,0.021284121807866357,0.030881344951674522,0.5167918997050638,0.7767163444899966,0.13157894736842105
2,4,H4,152,0.05586748069005185,-0.006619033560313104,0.05586748047941708,0.04235769903171142,0.3983795542015982,0.0037429402818562178,0.5016816902059379,0.8355263157894737
2,4,H5,152,0.5045428441984481,0.45144123501424716,0.5045428424648611,0.5435703817043144,0.14660103047287273,0.0037429402818562178,0.5016816902059379,0.7828947368421053
2,4,H3,152,0.19057176694715103,0.06444462278427407,0.19057176652243168,0.18098417885510265,0.11907207893828173,0.0037429402818562178,0.5016816902059379,0.7763157894736842
2,4,H1,152,0.07145704720230577,0.0504327535869278,0.07145704698446498,0.07483413138063873,0.03920326757731714,0.0037429402818562178,0.5016816902059379,0.7368421052631579
2,4,H2,152,0.17756086413895614,0.04564779227249117,0.17756086354882508,0.15825360902823282,0.2967440688099302,0.0037429402818562178,0.5016816902059379,0.6973684210526315
3,0,H1,152,0.00897413767688704,0.003584098333036084,0.0,0.008043563745457727,0.007590670603354081,0.883285999116381,0.9203549378609476,0.006578947368421052
3,0,H2,152,0.005123512607664644,0.0018511087164968419,0.0,0.004609162746702272,0.005038108238209401,0.883285999116381,0.9203549378609476,0.0
3,0,H3,152,0.4963085438664022,0.4295260983880862,0.0,0.4997986272214915,0.5734710596556439,0.883285999116381,0.9203549378609476,0.0
3,0,H4,152,0.485234532113138,0.4014079450974755,0.0,0.48355708870696484,0.40998932469295063,0.883285999116381,0.9203549378609476,0.0
3,0,H5,152,0.004359269520041141,0.0016961892552039553,0.0,0.003991557579383564,0.003910836809841914,0.883285999116381,0.9203549378609476,0.0
3,1,H3,152,0.9799848089092656,0.9739645261673724,0.9799848116599998,0.9837668271272277,0.6994576955234041,0.9114476116625506,0.923076941891065,1.0
3,1,H4,152,0.017540373899177404,0.004588687899357328,0.01754037381672033,0.01435988793208749,0.23880922405254387,0.9114476116625506,0.923076941891065,0.9473684210526315
3,1,H1,152,0.0018576077184087282,-0.0005410163719535419,0.0018576077258700013,0.0014050490886407898,0.05093448620719586,0.9114476116625506,0.923076941891065,0.0
3,1,H2,152,0.0004082831043445511,-6.669105750756283e-05,0.0004082831068448211,0.0003087625284763864,0.007591587375102064,0.9114476116625506,0.923076941891065,0.0
3,1,H5,152,0.000208923689342555,-2.1246978345994434e-05,0.00020892369056496214,0.0001594733235676085,0.00320700684175411,0.9114476116625506,0.923076941891065,0.0
3,2,H3,152,0.37350652842341286,0.11219952894360478,0.3735065303071673,0.3329542487038562,0.4466422407739844,0.30883402861960735,0.7986423348670536,0.9407894736842105
3,2,H2,152,0.25228526598986817,0.2258707899051848,0.25228526583444316,0.2888472076795406,0.1731040019018876,0.30883402861960735,0.7986423348670536,0.6578947368421053
3,2,H4,152,0.05153652601936636,-0.007468341450854792,0.051536526155351835,0.03904149893620836,0.1704137428996393,0.30883402861960735,0.7986423348670536,0.5592105263157895
3,2,H1,152,0.1959921650681951,0.14964996122351995,0.19599216508509007,0.21343951568701366,0.11999963833711828,0.30883402861960735,0.7986423348670536,0.5328947368421053
3,2,H5,152,0.12667951257102877,0.06328833678741083,0.12667951261794763,0.12571752899338118,0.08984037608737039,0.30883402861960735,0.7986423348670536,0.35526315789473684
